z,XCH4,XCO,XCO2,XH2,XH2O,XO2,Tboth,Tgas,Tsolid
-0.1,0.4993908,0,0.5006092,0,0,0,922.8437,922.8437,0
-0.0992993,0.4993908,0,0.5006092,0,0,0,922.8026,922.8026,0
-0.0985986,0.4993908,0,0.5006092,0,0,0,922.8261,922.8261,0
-0.0978979,0.4993908,0,0.5006092,0,0,0,922.7572,922.7572,0
-0.0971972,0.4993908,0,0.5006092,0,0,0,922.6911,922.6911,0
-0.0964965,0.4993908,0,0.5006092,0,0,0,922.7389,922.7389,0
-0.0957958,0.4993908,0,0.5006092,0,0,0,922.7068,922.7068,0
-0.0950951,0.4993908,0,0.5006092,0,0,0,922.6142,922.6142,0
-0.0943944,0.4993908,0,0.5006092,0,0,0,922.6883,922.6883,0
-0.09369369,0.4993908,0,0.5006092,0,0,0,922.6925,922.6925,0
-0.09299299,0.4993908,0,0.5006092,0,0,0,922.5363,922.5363,0
-0.09229229,0.4993908,0,0.5006092,0,0,0,922.5625,922.5625,0
-0.09159159,0.4993908,0,0.5006092,0,0,0,922.652,922.652,0
-0.09089089,0.4993908,0,0.5006092,0,0,0,922.5668,922.5668,0
-0.09019019,0.4993908,0,0.5006092,0,0,0,922.5495,922.5495,0
-0.08948949,0.4993908,0,0.5006092,0,0,0,922.6171,922.6171,0
-0.08878879,0.4993908,0,0.5006092,0,0,0,922.5174,922.5174,0
-0.08808809,0.4993908,0,0.5006092,0,0,0,922.6251,922.6251,0
-0.08738739,0.4993908,0,0.5006092,0,0,0,922.637,922.637,0
-0.08668669,0.4993908,0,0.5006092,0,0,0,922.4946,922.4946,0
-0.08598599,0.4993908,0,0.5006092,0,0,0,922.6124,922.6124,0
-0.08528529,0.4993908,0,0.5006092,0,0,0,922.5824,922.5824,0
-0.08458459,0.4993908,0,0.5006092,0,0,0,922.4915,922.4915,0
-0.08388389,0.4993908,0,0.5006092,0,0,0,922.6465,922.6465,0
-0.08318319,0.4993908,0,0.5006092,0,0,0,922.7468,922.7468,0
-0.08248248,0.4993908,0,0.5006092,0,0,0,922.7343,922.7343,0
-0.08178178,0.4993908,0,0.5006092,0,0,0,922.6363,922.6363,0
-0.08108108,0.4993908,0,0.5006092,0,0,0,922.6668,922.6668,0
-0.08038038,0.4993908,0,0.5006092,0,0,0,922.7049,922.7049,0
-0.07967968,0.4993908,0,0.5006092,0,0,0,922.6121,922.6121,0
-0.07897898,0.4993908,0,0.5006092,0,0,0,922.7321,922.7321,0
-0.07827828,0.4993908,0,0.5006092,0,0,0,922.7483,922.7483,0
-0.07757758,0.4993908,0,0.5006092,0,0,0,922.6323,922.6323,0
-0.07687688,0.4993908,0,0.5006092,0,0,0,922.7347,922.7347,0
-0.07617618,0.4993908,0,0.5006092,0,0,0,922.6881,922.6881,0
-0.07547548,0.4993908,0,0.5006092,0,0,0,922.5809,922.5809,0
-0.07477478,0.4993908,0,0.5006092,0,0,0,922.627,922.627,0
-0.07407408,0.4993908,0,0.5006092,0,0,0,922.5381,922.5381,0
-0.07337338,0.4993908,0,0.5006092,0,0,0,922.5323,922.5323,0
