"arc_length","T"
0,300
0.0005,300.238
0.001,300.306
0.0015,300.375
0.002,300.443
0.0025,300.512
0.003,300.665
0.0035,300.818
0.004,300.971
0.0045,301.125
0.005,301.278
0.0055,301.526
0.006,301.775
0.0065,302.023
0.007,302.272
0.0075,302.52
0.008,302.872
0.0085,303.224
0.009,303.575
0.0095,303.927
0.01,304.278
0.0105,304.733
0.011,305.187
0.0115,305.641
0.012,306.095
0.0125,306.549
0.013,307.101
0.0135,307.654
0.014,308.206
0.0145,308.758
0.015,309.31
0.0155,309.953
0.016,310.597
0.0165,311.241
0.017,311.884
0.0175,312.528
0.018,313.256
0.0185,313.985
0.019,314.714
0.0195,315.442
0.02,316.171
0.0205,316.978
0.021,317.785
0.0215,318.592
0.022,319.399
0.0225,320.207
0.023,321.086
0.0235,321.966
0.024,322.846
0.0245,323.726
0.025,324.606
0.0255,325.553
0.026,326.5
0.0265,327.447
0.027,328.394
0.0275,329.341
0.028,330.351
0.0285,331.36
0.029,332.369
0.0295,333.379
0.03,334.388
0.0305,335.455
0.031,336.522
0.0315,337.59
0.032,338.657
0.0325,339.724
0.033,340.845
0.0335,341.967
0.034,343.088
0.0345,344.209
0.035,345.33
0.0355,346.504
0.036,347.677
0.0365,348.851
0.037,350.024
0.0375,351.198
0.038,352.422
0.0385,353.647
0.039,354.871
0.0395,356.095
0.04,357.32
0.0405,358.591
0.041,359.862
0.0415,361.133
0.042,362.403
0.0425,363.674
0.043,364.985
0.0435,366.296
0.044,367.608
0.0445,368.919
0.045,370.23
0.0455,371.575
0.046,372.92
0.0465,374.266
0.047,375.611
0.0475,376.956
0.048,378.33
0.0485,379.704
0.049,381.078
0.0495,382.452
0.05,383.826
0.0505,385.224
0.051,386.621
0.0515,388.019
0.052,389.416
0.0525,390.813
0.053,392.229
0.0535,393.645
0.054,395.062
0.0545,396.478
0.055,397.894
0.0555,399.324
0.056,400.754
0.0565,402.184
0.057,403.614
0.0575,405.045
0.058,406.485
0.0585,407.925
0.059,409.365
0.0595,410.806
0.06,412.246
0.0605,413.692
0.061,415.139
0.0615,416.585
0.062,418.032
0.0625,419.479
0.063,420.928
0.0635,422.378
0.064,423.827
0.0645,425.277
0.065,426.726
0.0655,428.175
0.066,429.625
0.0665,431.074
0.067,432.524
0.0675,433.973
0.068,435.419
0.0685,436.866
0.069,438.312
0.0695,439.759
0.07,441.205
0.0705,442.647
0.071,444.088
0.0715,445.529
0.072,446.97
0.0725,448.411
0.073,449.845
0.0735,451.278
0.074,452.712
0.0745,454.146
0.075,455.579
0.0755,457.003
0.076,458.427
0.0765,459.852
0.077,461.276
0.0775,462.7
0.078,464.113
0.0785,465.526
0.079,466.939
0.0795,468.352
0.08,469.765
0.0805,471.165
0.081,472.566
0.0815,473.966
0.082,475.367
0.0825,476.767
0.083,478.154
0.0835,479.54
0.084,480.927
0.0845,482.313
0.085,483.699
0.0855,485.071
0.086,486.443
0.0865,487.814
0.087,489.186
0.0875,490.557
0.088,491.913
0.0885,493.268
0.089,494.624
0.0895,495.979
0.09,497.335
0.0905,498.674
0.091,500.013
0.0915,501.352
0.092,502.691
0.0925,504.03
0.093,505.352
0.0935,506.673
0.094,507.995
0.0945,509.317
0.095,510.638
0.0955,511.942
0.096,513.246
0.0965,514.55
0.097,515.854
0.0975,517.158
0.098,518.443
0.0985,519.729
0.099,521.015
0.0995,522.3
0.1,523.586
0.1005,524.853
0.101,526.121
0.1015,527.388
0.102,528.655
0.1025,529.922
0.103,531.171
0.1035,532.419
0.104,533.668
0.1045,534.917
0.105,536.165
0.1055,537.395
0.106,538.625
0.1065,539.854
0.107,541.084
0.1075,542.314
0.108,543.525
0.1085,544.735
0.109,545.946
0.1095,547.157
0.11,548.368
0.1105,549.56
0.111,550.752
0.1115,551.944
0.112,553.136
0.1125,554.328
0.113,555.501
0.1135,556.674
0.114,557.847
0.1145,559.02
0.115,560.193
0.1155,561.348
0.116,562.502
0.1165,563.657
0.117,564.811
0.1175,565.965
0.118,567.101
0.1185,568.237
0.119,569.373
0.1195,570.509
0.12,571.644
0.1205,572.762
0.121,573.879
0.1215,574.996
0.122,576.114
0.1225,577.231
0.123,578.33
0.1235,579.429
0.124,580.529
0.1245,581.628
0.125,582.727
0.1255,583.808
0.126,584.889
0.1265,585.97
0.127,587.051
0.1275,588.133
0.128,589.196
0.1285,590.259
0.129,591.323
0.1295,592.386
0.13,593.45
0.1305,594.496
0.131,595.542
0.1315,596.588
0.132,597.634
0.1325,598.68
0.133,599.709
0.1335,600.737
0.134,601.766
0.1345,602.795
0.135,603.824
0.1355,604.836
0.136,605.848
0.1365,606.86
0.137,607.872
0.1375,608.884
0.138,609.879
0.1385,610.875
0.139,611.87
0.1395,612.865
0.14,613.861
0.1405,614.84
0.141,615.819
0.1415,616.798
0.142,617.777
0.1425,618.756
0.143,619.719
0.1435,620.682
0.144,621.645
0.1445,622.608
0.145,623.571
0.1455,624.518
0.146,625.465
0.1465,626.413
0.147,627.36
0.1475,628.307
0.148,629.239
0.1485,630.171
0.149,631.103
0.1495,632.034
0.15,632.966
0.1505,633.883
0.151,634.8
0.1515,635.716
0.152,636.633
0.1525,637.549
0.153,638.451
0.1535,639.353
0.154,640.255
0.1545,641.157
0.155,642.058
0.1555,642.945
0.156,643.833
0.1565,644.72
0.157,645.607
0.1575,646.494
0.158,647.367
0.1585,648.24
0.159,649.113
0.1595,649.986
0.16,650.859
0.1605,651.718
0.161,652.577
0.1615,653.436
0.162,654.296
0.1625,655.155
0.163,656
0.1635,656.846
0.164,657.691
0.1645,658.537
0.165,659.382
0.1655,660.214
0.166,661.046
0.1665,661.878
0.167,662.711
0.1675,663.543
0.168,664.362
0.1685,665.181
0.169,666
0.1695,666.819
0.17,667.638
0.1705,668.444
0.171,669.25
0.1715,670.056
0.172,670.862
0.1725,671.668
0.173,672.461
0.1735,673.255
0.174,674.048
0.1745,674.842
0.175,675.635
0.1755,676.416
0.176,677.197
0.1765,677.978
0.177,678.759
0.1775,679.54
0.178,680.309
0.1785,681.078
0.179,681.847
0.1795,682.615
0.18,683.384
0.1805,684.141
0.181,684.898
0.1815,685.655
0.182,686.412
0.1825,687.169
0.183,687.914
0.1835,688.659
0.184,689.404
0.1845,690.149
0.185,690.895
0.1855,691.628
0.186,692.362
0.1865,693.096
0.187,693.829
0.1875,694.563
0.188,695.285
0.1885,696.008
0.189,696.73
0.1895,697.453
0.19,698.175
0.1905,698.887
0.191,699.598
0.1915,700.309
0.192,701.021
0.1925,701.732
0.193,702.433
0.1935,703.133
0.194,703.834
0.1945,704.535
0.195,705.235
0.1955,705.925
0.196,706.615
0.1965,707.305
0.197,707.995
0.1975,708.685
0.198,709.365
0.1985,710.044
0.199,710.724
0.1995,711.404
0.2,712.083
0.2005,712.753
0.201,713.422
0.2015,714.091
0.202,714.761
0.2025,715.43
0.203,716.089
0.2035,716.749
0.204,717.408
0.2045,718.068
0.205,718.727
0.2055,719.377
0.206,720.026
0.2065,720.676
0.207,721.325
0.2075,721.975
0.208,722.615
0.2085,723.255
0.209,723.895
0.2095,724.535
0.21,725.175
0.2105,725.805
0.211,726.436
0.2115,727.066
0.212,727.697
0.2125,728.327
0.213,728.949
0.2135,729.57
0.214,730.191
0.2145,730.813
0.215,731.434
0.2155,732.046
0.216,732.658
0.2165,733.27
0.217,733.883
0.2175,734.495
0.218,735.098
0.2185,735.701
0.219,736.305
0.2195,736.908
0.22,737.511
0.2205,738.106
0.221,738.7
0.2215,739.295
0.222,739.889
0.2225,740.484
0.223,741.07
0.2235,741.656
0.224,742.242
0.2245,742.827
0.225,743.413
0.2255,743.991
0.226,744.568
0.2265,745.146
0.227,745.723
0.2275,746.301
0.228,746.87
0.2285,747.439
0.229,748.009
0.2295,748.578
0.23,749.147
0.2305,749.708
0.231,750.269
0.2315,750.83
0.232,751.391
0.2325,751.952
0.233,752.506
0.2335,753.059
0.234,753.612
0.2345,754.165
0.235,754.718
0.2355,755.263
0.236,755.809
0.2365,756.354
0.237,756.899
0.2375,757.444
0.238,757.982
0.2385,758.519
0.239,759.057
0.2395,759.595
0.24,760.132
0.2405,760.662
0.241,761.192
0.2415,761.722
0.242,762.252
0.2425,762.782
0.243,763.305
0.2435,763.827
0.244,764.35
0.2445,764.872
0.245,765.395
0.2455,765.91
0.246,766.425
0.2465,766.941
0.247,767.456
0.2475,767.971
0.248,768.479
0.2485,768.987
0.249,769.495
0.2495,770.004
0.25,770.512
0.2505,771.013
0.251,771.514
0.2515,772.015
0.252,772.516
0.2525,773.017
0.253,773.511
0.2535,774.005
0.254,774.499
0.2545,774.993
0.255,775.487
