TITLE = "DETCHEM_PBR V2.8"
VARIABLES =
              z,          T_gas,      T_surface,              P,            Tau,              u,            rho,           mdot,           vdot,           fdot,           Meff,          Power,      overall_U,           h_fs,        k_fsCH4,         k_fsO2,         k_fsH2,        k_fsH2O,         k_fsCO,        k_fsCO2,           k_rs,           k_rf,            k_r,            h_w,           XCH4,            XO2,            XH2,           XH2O,            XCO,           XCO2
  0.000000E+000,  3.000000E+002,  3.000000E+002,  1.013250E+005,  0.000000E+000,  5.000000E+000,  1.220422E+000,  3.067687E-003,  2.513628E-003,  1.021086E-001,  3.004338E-002,  0.000000E+000,  1.713972E+002,  3.434263E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  7.952683E-002,  1.835971E+000,  1.915498E+000,  2.395513E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.000000E-010,  3.000000E+002,  3.000000E+002,  1.013250E+005,  2.000000E-011,  5.000000E+000,  1.220422E+000,  3.067687E-003,  2.513628E-003,  1.021086E-001,  3.004338E-002,  9.088350E-007,  1.699024E+002,  3.434263E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  7.952683E-002,  1.835971E+000,  1.915498E+000,  2.395513E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.010000E-008,  3.000000E+002,  3.000000E+002,  1.013250E+005,  2.020000E-009,  5.000000E+000,  1.220422E+000,  3.067687E-003,  2.513628E-003,  1.021086E-001,  3.004338E-002,  9.088350E-005,  1.699024E+002,  3.434263E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  7.952683E-002,  1.835971E+000,  1.915498E+000,  2.395514E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.010100E-006,  3.000025E+002,  3.000025E+002,  1.013250E+005,  2.020192E-007,  5.000042E+000,  1.220412E+000,  3.067687E-003,  2.513648E-003,  1.021086E-001,  3.004338E-002,  9.088364E-003,  1.699033E+002,  3.434286E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  7.952750E-002,  1.835978E+000,  1.915505E+000,  2.395527E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.010101E-004,  3.002478E+002,  3.002478E+002,  1.013244E+005,  2.019362E-005,  5.004161E+000,  1.219407E+000,  3.067687E-003,  2.515719E-003,  1.021086E-001,  3.004338E-002,  9.089734E-001,  1.699913E+002,  3.436562E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  7.959459E-002,  1.836648E+000,  1.916243E+000,  2.396905E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  2.095258E-003,  3.051303E+002,  3.051303E+002,  1.013123E+005,  4.154802E-004,  5.086144E+000,  1.199752E+000,  3.067687E-003,  2.556934E-003,  1.021086E-001,  3.004338E-002,  1.817964E+001,  1.717340E+002,  3.481717E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  8.092631E-002,  1.849924E+000,  1.930850E+000,  2.424205E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  6.325936E-003,  3.154173E+002,  3.154173E+002,  1.012859E+005,  1.233444E-003,  5.258984E+000,  1.160321E+000,  3.067687E-003,  2.643825E-003,  1.021086E-001,  3.004338E-002,  3.877421E+001,  1.753587E+002,  3.575962E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  8.371031E-002,  1.877502E+000,  1.961213E+000,  2.481065E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  8.327731E-003,  3.202507E+002,  3.202507E+002,  1.012731E+005,  1.611174E-003,  5.340244E+000,  1.142665E+000,  3.067687E-003,  2.684677E-003,  1.021086E-001,  3.004338E-002,  1.838632E+001,  1.770394E+002,  3.619798E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  8.500667E-002,  1.890282E+000,  1.975289E+000,  2.507462E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  9.915055E-003,  3.240672E+002,  3.240672E+002,  1.012629E+005,  1.906639E-003,  5.404434E+000,  1.129093E+000,  3.067687E-003,  2.716947E-003,  1.021086E-001,  3.004338E-002,  1.460210E+001,  1.783563E+002,  3.654201E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  8.602441E-002,  1.900296E+000,  1.986320E+000,  2.528158E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.106524E-002,  3.268230E+002,  3.268230E+002,  1.012554E+005,  2.118554E-003,  5.450797E+000,  1.119490E+000,  3.067687E-003,  2.740255E-003,  1.021086E-001,  3.004338E-002,  1.059182E+001,  1.793016E+002,  3.678923E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  8.675584E-002,  1.907485E+000,  1.994240E+000,  2.543019E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.174386E-002,  3.284458E+002,  3.284458E+002,  1.012509E+005,  2.242741E-003,  5.478103E+000,  1.113909E+000,  3.067687E-003,  2.753982E-003,  1.021086E-001,  3.004338E-002,  6.252797E+000,  1.798561E+002,  3.693433E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  8.718513E-002,  1.911701E+000,  1.998887E+000,  2.551737E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.287932E-002,  3.311551E+002,  3.311551E+002,  1.012434E+005,  2.449156E-003,  5.523702E+000,  1.104714E+000,  3.067687E-003,  2.776906E-003,  1.021086E-001,  3.004338E-002,  1.047160E+001,  1.807780E+002,  3.717577E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  8.789943E-002,  1.918715E+000,  2.006615E+000,  2.566238E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.680941E-002,  3.404741E+002,  3.404741E+002,  1.012168E+005,  3.150719E-003,  5.680632E+000,  1.074196E+000,  3.067687E-003,  2.855799E-003,  1.021086E-001,  3.004338E-002,  3.633739E+001,  1.839138E+002,  3.799828E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.033168E-002,  1.942594E+000,  2.032926E+000,  2.615582E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.889952E-002,  3.453928E+002,  3.453928E+002,  1.012024E+005,  3.515994E-003,  5.763519E+000,  1.058747E+000,  3.067687E-003,  2.897468E-003,  1.021086E-001,  3.004338E-002,  1.934590E+001,  1.855551E+002,  3.843050E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.161312E-002,  1.955048E+000,  2.046661E+000,  2.641456E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  2.062273E-002,  3.494284E+002,  3.494284E+002,  1.011904E+005,  3.813227E-003,  5.831554E+000,  1.046395E+000,  3.067687E-003,  2.931671E-003,  1.021086E-001,  3.004338E-002,  1.596177E+001,  1.868937E+002,  3.878374E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  9.266144E-002,  1.965191E+000,  2.057853E+000,  2.662576E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
