"arc_length","T"
0,300
0.0005,300.932
0.001,301.144
0.0015,301.357
0.002,301.57
0.0025,301.782
0.003,302.164
0.0035,302.546
0.004,302.928
0.0045,303.31
0.005,303.692
0.0055,304.227
0.006,304.761
0.0065,305.296
0.007,305.831
0.0075,306.365
0.008,307.042
0.0085,307.719
0.009,308.396
0.0095,309.073
0.01,309.75
0.0105,310.552
0.011,311.354
0.0115,312.155
0.012,312.957
0.0125,313.759
0.013,314.667
0.0135,315.575
0.014,316.483
0.0145,317.391
0.015,318.299
0.0155,319.297
0.016,320.295
0.0165,321.292
0.017,322.29
0.0175,323.288
0.018,324.361
0.0185,325.434
0.019,326.507
0.0195,327.58
0.02,328.653
0.0205,329.79
0.021,330.926
0.0215,332.062
0.022,333.199
0.0225,334.335
0.023,335.525
0.0235,336.714
0.024,337.904
0.0245,339.093
0.025,340.283
0.0255,341.517
0.026,342.751
0.0265,343.986
0.027,345.22
0.0275,346.454
0.028,347.726
0.0285,348.998
0.029,350.27
0.0295,351.542
0.03,352.813
0.0305,354.116
0.031,355.419
0.0315,356.722
0.032,358.025
0.0325,359.328
0.033,360.658
0.0335,361.987
0.034,363.316
0.0345,364.645
0.035,365.975
0.0355,367.327
0.036,368.68
0.0365,370.033
0.037,371.386
0.0375,372.738
0.038,374.111
0.0385,375.485
0.039,376.858
0.0395,378.231
0.04,379.604
0.0405,380.992
0.041,382.38
0.0415,383.768
0.042,385.157
0.0425,386.545
0.043,387.944
0.0435,389.342
0.044,390.741
0.0445,392.139
0.045,393.538
0.0455,394.942
0.046,396.347
0.0465,397.752
0.047,399.156
0.0475,400.561
0.048,401.968
0.0485,403.375
0.049,404.783
0.0495,406.19
0.05,407.597
0.0505,409.003
0.051,410.41
0.0515,411.816
0.052,413.223
0.0525,414.629
0.053,416.032
0.0535,417.435
0.054,418.838
0.0545,420.241
0.055,421.644
0.0555,423.041
0.056,424.439
0.0565,425.836
0.057,427.233
0.0575,428.63
0.058,430.02
0.0585,431.409
0.059,432.799
0.0595,434.188
0.06,435.577
0.0605,436.957
0.061,438.337
0.0615,439.717
0.062,441.097
0.0625,442.477
0.063,443.846
0.0635,445.215
0.064,446.583
0.0645,447.952
0.065,449.321
0.0655,450.678
0.066,452.035
0.0665,453.391
0.067,454.748
0.0675,456.105
0.068,457.448
0.0685,458.791
0.069,460.135
0.0695,461.478
0.07,462.822
0.0705,464.151
0.071,465.48
0.0715,466.81
0.072,468.139
0.0725,469.469
0.073,470.783
0.0735,472.098
0.074,473.412
0.0745,474.727
0.075,476.041
0.0755,477.341
0.076,478.64
0.0765,479.939
0.077,481.238
0.0775,482.537
0.078,483.821
0.0785,485.104
0.079,486.388
0.0795,487.671
0.08,488.955
0.0805,490.222
0.081,491.489
0.0815,492.756
0.082,494.024
0.0825,495.291
0.083,496.542
0.0835,497.793
0.084,499.044
0.0845,500.294
0.085,501.545
0.0855,502.78
0.086,504.014
0.0865,505.248
0.087,506.482
0.0875,507.717
0.088,508.934
0.0885,510.152
0.089,511.369
0.0895,512.587
0.09,513.805
0.0905,515.005
0.091,516.206
0.0915,517.407
0.092,518.608
0.0925,519.808
0.093,520.992
0.0935,522.177
0.094,523.36
0.0945,524.544
0.095,525.729
0.0955,526.896
0.096,528.063
0.0965,529.23
0.097,530.398
0.0975,531.565
0.098,532.715
0.0985,533.866
0.099,535.016
0.0995,536.167
0.1,537.318
0.1005,538.452
0.101,539.586
0.1015,540.72
0.102,541.854
0.1025,542.987
0.103,544.105
0.1035,545.223
0.104,546.34
0.1045,547.458
0.105,548.575
0.1055,549.676
